Ang
Au-Yong
Bai
Ban
Bao
Bei
Bian
Bui
Cai
Cao
Cen
Chai
Chaim
Chan
Chang
Chang
Chao
Che
Chen
Cheng
Cheung
Chew
Chieu
Chin
Chong
Chou
Chu
Chu
Cui
Dai
Deng
Ding
Dong
Dou
Duan
Eng
Fan
Fan
Fei
Feng
Foong
Fung
Gan
Gauk
Geng
Gim
Gok
Gong
Gong
Guan
Guang
Guo
Guo
Gwock
Han
Hang
Hao
Hew
Hiu
Hong
Hong
Hor
Hsiao
Hua
Huan
Huang
Hui
Huie
Huo
Jia
Jiang
Jiang
Jin
Jing
Joe
Kang
Kau
Khoo
Khu
Kong
Koo
Kwan
Kwei
Kwong
Lai
Lam
Lang
Lau
Law
Lew
Lian
Liao
Lim
Lin
Ling
Liu
Liu
Loh
Long
Loong
Luo
Mah
Mai
Mak
Mao
Mar
Mei
Meng
Miao
Miao
Min
Ming
Moy
Mui
Nie
Niu
Ou-Yang
Ow-Yang
Pan
Pang
Pang
Pei
Peng
Ping
Qian
Qin
Qiu
Qiu
Quan
Quan
Que
Ran
Rao
Rong
Ruan
Sam
Seah
See 
Seow
Seto
Sha
Shan
Shan
Shang
Shao
Shaw
She
Shen
Shen
Sheng
Shi
Shi
Shi
Shu
Shu
Shuai
Shui
Shum
Siew
Siu
Song
Sum
Sun
Sze 
Tan
Tang
Tang
Tang
Tao
Teng
Teng
Teoh
Thean
Thian
Thien
Tian
Tong
Tong
Tow
Tsang
Tse
Tsen
Tso
Tze
Wan
Wang
Wang
Wei
Wei
Wen
Wen
Weng
Won
Wong
Woo
Xiang
Xiao
Xie
Xing
Xue
Xun
Yan
Yan
Yan
Yang
Yang
Yao
Yap
Yau
Yee
Yep
Yim
Yin
Yin
Ying
Yong
You
Yuan
Zang
Zeng
Zha
Zhan
Zhan
Zhang
Zhao
Zhen
Zheng
Zhong
Zhou
Zhou
Zhu
Zhu
Zhuo
Zong
Zong
Zou
Bing
Chi
Chu
Chu
Cong
Cuan
Dan
Fei
Feng
Gai
Gao
Gou
Gou
Guan
Gui
Gui
Guo
Hong
Hou
Huan
Jian
Jian
Jiao
Jiao
Jin
Jiu
Juan
Jue
Kan
Kuai
Kuai
Kuang
Kui
Lao
Liang
Lu:
Luo
Man
Nao
Pian
Qiao
Qing
Qiu
Rang
Rui
She
She
Shi
Shuo
Sui
Sui
Tai
Wan
Wei
Xian
Xie
Xin
Xing
Xiong
Xuan
Yan
Yin
Ying
Yuan
Yuan
Yue
Yun
Zha
Zhai
Zhai
Zhang
Zhi
Zhuan
Zhui
